contract_id,member_id,insurance_id,last_payment_date,start_date,end_date,contract_days,total_premium,status,contractor,is_reviewed
17510-0000,1f1cbe44-0d5f-4,INS010104,2023-11-22 00:00:00,2023-11-22 00:00:00,2023-11-26 00:00:00,4,40000,만기,이보람,1
17510-0001,8ad03de9-46ab-4,INS010103,2024-06-29 00:00:00,2024-06-28 00:00:00,2024-07-04 00:00:00,6,60000,만기,김상철,0
17510-0002,da3715a6-2f0e-4,INS010101,2024-08-28 00:00:00,2024-08-24 00:00:00,2024-08-30 00:00:00,6,60000,만기,박정훈,1
17510-0003,19ffba8f-a06a-4,INS010103,2024-01-15 00:00:00,2024-01-15 00:00:00,2024-01-19 00:00:00,4,40000,만기,김재호,1
17510-0004,aecc75aa-3d8f-4,INS010102,2024-03-26 00:00:00,2024-03-25 00:00:00,2024-03-29 00:00:00,4,40000,만기,최경수,0
17510-0005,31d07bbe-3beb-4,INS010104,2024-09-20 00:00:00,2024-09-20 00:00:00,2024-09-23 00:00:00,3,30000,만기,박정희,0
17510-0006,43d7a57e-2b61-4,INS010102,2024-01-29 00:00:00,2024-01-22 00:00:00,2024-01-29 00:00:00,7,70000,만기,김정수,1
17510-0007,02335e00-c052-4,INS010104,2024-05-11 00:00:00,2024-05-11 00:00:00,2024-05-16 00:00:00,5,50000,만기,박숙자,1
17510-0008,d520bbc6-4e3b-4,INS010104,2023-12-20 00:00:00,2023-12-18 00:00:00,2023-12-21 00:00:00,3,30000,만기,이민재,1
17510-0009,5889aef4-6ab9-4,INS010104,2024-02-28 00:00:00,2024-02-25 00:00:00,2024-02-29 00:00:00,4,40000,만기,이하은,1
17510-0010,d520bbc6-4e3b-4,INS010103,2024-08-02 00:00:00,2024-08-02 00:00:00,2024-08-03 00:00:00,1,10000,만기,이민재,0
17510-0011,bd5ae8ac-2d99-4,INS010103,2023-11-29 00:00:00,2023-11-29 00:00:00,2023-11-30 00:00:00,1,10000,만기,김영순,1
17510-0012,e7fc759c-2708-4,INS010104,2023-12-25 00:00:00,2023-12-24 00:00:00,2023-12-25 00:00:00,1,10000,만기,김정남,1
