member_id,password,name,identification_number,birth_date,gender,phone_number,email,point,fraud_count
f0d359e1-0880-4,x6tnBEr4&i,송하윤,8607251604876,1986-07-25,F,052-115-7815,yunjia@example.com,991,0
dda78eb0-6431-4,7(S7fOnb!q,송민수,9208121938242,1992-08-12,M,010-7115-8714,eunjeong42@example.net,633,0
4fdd2edc-6eb4-4,$9RB51m#s7,홍옥자,9005181924115,1990-05-18,F,064-733-9694,yeongsungim@example.net,573,0
7585d0eb-d806-4,^1Kt@8eF0J,최지후,8302121659387,1983-02-12,F,010-9101-3991,mgim@example.com,886,0
4901e89e-fb07-4,fN)%0Gfn^^,박예준,8509091080160,1985-09-09,F,019-634-5792,yeonggilha@example.com,847,0
75d44ff7-5cdf-4,2WK0qIUP#E,김정호,9906081513933,1999-06-08,M,010-4237-5945,caeweon78@example.org,822,0
eaf5a6f8-1f53-4,_C1ZGqAtHd,한시우,9009151115871,1990-09-15,F,063-890-0754,bagjihye@example.net,564,0
ab17ba7a-011b-4,nc@8U!@hy$,구동현,9505231185839,1995-05-23,F,055-104-7142,bagdohyeon@example.net,455,0
182b3cb5-25d3-4,7BFTo0Gv!Z,이성민,9502201659342,1995-02-20,M,041-245-5515,minseog50@example.com,841,0
9add63d6-9c8a-4,)5gvAMfr%A,구순자,9203021947112,1992-03-02,M,063-176-0452,fgang@example.org,945,0
7a1853b5-c797-4,2@G1Zcuke4,김서연,9401271186848,1994-01-27,M,033-108-7317,oyejin@example.net,869,1
f32c3e43-ad56-4,2FS9zE_d$q,김순자,8704221969477,1987-04-22,F,070-5508-2492,yejin33@example.org,84,0
9435df5a-01d5-4,Qt%)A1Zc*q,박은경,9106201179533,1991-06-20,M,018-891-6348,caeweon78@example.org,749,0
9b722745-c2ea-4,)r9HUCz7nj,류도윤,9405041352560,1994-05-04,M,031-762-7912,jeongsig28@example.com,801,1
13831121-3a7a-4,*0W)BdapjD,심은지,9203281309891,1992-03-28,M,018-942-6418,gimseoyeong@example.net,127,0
ffe73e74-19b7-4,Y7s#L@zU$4,손승현,9311071991615,1993-11-07,M,032-161-1620,mijeong69@example.com,37,0
4e6c45c5-7fc5-4,*5EXi!ym^s,김예준,8710011321730,1987-10-01,M,041-271-7542,nbag@example.org,557,0
8f601c61-7feb-4,CV%4Ru_)4P,김민수,9607201141314,1996-07-20,F,02-6112-6486,ijihu@example.net,446,0
1b1f6166-45b2-4,F3OIufB3@M,김정자,9303021870916,1993-03-02,M,055-266-2375,pi@example.org,266,0
27838d95-12d2-4,n3MJ(yAa*h,이현지,9906241792302,1999-06-24,M,033-400-4689,jiagim@example.org,350,0
d2e826a0-4142-4,tW4kYDv6^0,강옥자,0509093197207,2005-09-09,F,061-864-4759,yunseojang@example.org,921,0
3aa5aa5f-1e45-4,&AOg4OPew9,이성훈,9110281845642,1991-10-28,M,02-8116-0501,eunji21@example.net,468,0
f9aeef4c-b7dc-4,U23EGyZc%v,박지우,9012031508423,1990-12-03,F,055-676-3373,juweongim@example.org,360,0
591fe828-2a46-4,@c5A&qLj2b,김영수,9810101599246,1998-10-10,F,053-400-0250,ihyeonji@example.net,848,1
bf89a386-493e-4,342TWmBR_6,문성현,8311031093523,1983-11-03,M,043-444-8647,sonjeongho@example.net,652,0
4012184f-8e5a-4,OAt1OK&on(,최춘자,0208133960696,2002-08-13,M,055-023-7324,haeun91@example.org,169,0
1cc20124-0485-4,%9K9R7z(j*,박지혜,9408031427878,1994-08-03,M,033-641-9538,oyejin@example.net,905,0
7ca240f4-a0cc-4,Y5HlSCV@%H,황은경,9501161547063,1995-01-16,M,019-332-3659,ogsun78@example.org,857,0
d9d2e33a-ec53-4,E)04QaOwNt,김성수,8712051066503,1987-12-05,M,052-603-0535,yangyeongmi@example.com,734,0
b396cf32-53ac-4,$4U%YLv%5!,허영길,8701271891319,1987-01-27,M,041-542-5660,hyeonjibag@example.net,894,0
619bd85f-6a80-4,+)YbPYao7^,김지훈,9405091217610,1994-05-09,F,016-197-2990,lo@example.com,935,1
07f5f116-9f06-4,7+5ECH7l!A,최수민,9308261142851,1993-08-26,M,018-076-1657,gimseongsu@example.org,285,0
55f9920a-21bf-4,uziWQyn6%9,문민재,9901021034855,1999-01-02,M,070-0909-2554,jeongsu58@example.org,866,0
c48cb6b0-bf22-4,U0D!Zteb#X,김보람,0412233977658,2004-12-23,M,018-291-8896,gimjeonghun@example.org,212,2
c7515b28-c478-4,RBDeJ4Irk&,최영순,9607191402245,1996-07-19,F,016-305-8235,miyeonggim@example.net,808,0
7324c837-4083-4,v)3LhLIfew,노선영,9406231159004,1994-06-23,M,054-951-4070,hi@example.org,153,0
344212f0-6fd8-4,_6UW8bHu_&,장예은,8810101568241,1988-10-10,F,053-056-2462,hyeonjunbag@example.com,748,0
35ff39a4-4e43-4,epEgQmdd#2,김선영,8804021428146,1988-04-02,F,019-448-7278,xhan@example.net,306,0
c062a1ae-272d-4,0kZL5Y+C(N,황동현,9607041187755,1996-07-04,M,016-597-5685,oyejin@example.net,490,0
a3604735-9f2d-4,+2I%BGAkeE,배정훈,9602231760452,1996-02-23,M,018-497-6207,gimseongmin@example.net,641,0
c38d090b-54ec-4,1HdsAkld@p,김지은,0010133111330,2000-10-13,F,053-517-0284,byeongceol29@example.org,8,0
3af841ef-1c88-4,j++2Ff@wYH,이민지,0202133884779,2002-02-13,M,061-759-2690,pi@example.org,433,0
e0dfb2e8-95c1-4,@B!2uEa+k+,이서윤,0302123349263,2003-02-12,F,055-126-9516,lgang@example.org,117,2
e56ca677-c01b-4,&VnzrUpXN3,김춘자,8502271087317,1985-02-27,F,031-260-6661,seojuni@example.com,262,0
714c2703-830e-4,Vz7NfDYiY^,이광수,9704211039213,1997-04-21,F,010-6064-6352,jiyeong00@example.org,387,3
bb1e5fc2-3f8c-4,^ecj9M0o4&,이미영,9706181219729,1997-06-18,F,061-425-8582,xgim@example.com,653,0
edc0d0c2-76a0-4,G3AMI*y_%l,나미영,0111143875773,2001-11-14,M,019-926-1001,eunjujo@example.net,9,0
477f899b-8170-4,_bL4+Ssj7r,김정희,9106231550824,1991-06-23,M,055-409-2627,gimyeonghyi@example.org,862,0
6a41443b-85e8-4,5q9XMkSH7_,김명자,0307193471180,2003-07-19,M,032-769-6814,munboram@example.org,230,0
04a6a3a8-709d-4,_5m_TZpd#O,이미숙,9603021407522,1996-03-02,F,02-3374-4307,fgang@example.org,991,0
49538d1c-2461-4,4n4i5vSNr@,박영수,9906171688091,1999-06-17,M,017-556-4564,gimujin@example.com,764,3
aee3e8a9-89c8-4,1wOHGGxy#5,김영진,9307251348967,1993-07-25,F,02-1756-3609,dhong@example.org,622,0
5cfe964b-438a-4,^E5DG!(f22,홍명자,9710081002489,1997-10-08,F,042-336-6706,ecoe@example.net,340,0
deee577c-4924-4,en0SW&le8%,장서영,0002163446660,2000-02-16,M,064-781-8171,haeun91@example.org,656,0
8c08930e-1262-4,^TCm56Ni2f,김영수,9503081450076,1995-03-08,M,041-374-5792,sujin84@example.org,503,1
c29b186b-f734-4,DC1Bse1O_$,정지혜,9210231125609,1992-10-23,F,011-629-7939,hyeonji24@example.com,395,0
4b70d96f-b63e-4,!%5^8X(gQu,최성현,9408021172009,1994-08-02,M,062-675-7123,gimseongsu@example.org,645,0
a1bcd92e-fcd4-4,e@8pGqIl*z,박도현,9306041853671,1993-06-04,M,070-7036-9541,jiyeongan@example.com,624,0
ac2104e3-4263-4,)8Lqyehu4V,최명자,9812151951942,1998-12-15,F,064-776-5601,ryuhayun@example.org,818,0
f6b95f1c-91e4-4,1YW(9XZn!%,윤선영,9605241183067,1996-05-24,F,041-519-8614,gimbyeongceol@example.com,774,4
296d0477-1b30-4,o4#n7Bbq2d,손현지,9804151510074,1998-04-15,M,010-3375-2480,gyeongsugyun@example.org,967,0
16bd095e-9aaa-4,@^0820qtPC,김시우,9609221993318,1996-09-22,F,019-400-0415,dhong@example.org,519,0
74a6c761-8a98-4,8kEV6ilO$),송성훈,9905041269611,1999-05-04,F,044-141-2270,seoyun34@example.com,64,0
46cc0c10-df5c-4,4dI0mQ2+*k,문정웅,0302143207660,2003-02-14,F,019-238-2923,gyeongsugyun@example.org,941,0
90e315ce-5894-4,P3R!6&Fm&x,우정숙,9406241415115,1994-06-24,M,051-129-3300,sujin84@example.org,353,0
57d55cac-d55e-4,r9W2ETuZ6_,박영수,9706061035192,1997-06-06,M,052-559-6696,seoyeono@example.org,3,0
c2047c63-0424-4,3_WhItnq&7,김선영,0304223104509,2003-04-22,M,019-103-9140,ijeongnam@example.net,879,0
1d1466b4-bf17-4,7_a@t5zx5T,한지연,9203061717542,1992-03-06,M,02-9845-3635,minji27@example.org,989,0
4eb51478-fd21-4,Vvpt9QnZu),김현우,9904121574485,1999-04-12,M,053-477-9541,jeongunggim@example.org,607,2
561230df-d36a-4,H(4WR)awkV,김지연,9402041894262,1994-02-04,M,051-415-8810,iyun@example.com,823,0
54906204-b890-4,@rMm&Hzy$6,한영순,9104111833245,1991-04-11,F,010-0782-8239,minjun33@example.net,679,1
dd03fae5-72b3-4,%4GQjmZ+_i,이민서,9401281290611,1994-01-28,M,011-115-3475,miyeong37@example.com,430,0
d44d4c29-0f9e-4,@SOQt_mqB5,김상훈,8905181629645,1989-05-18,M,052-576-9597,jihyei@example.org,254,0
369393f9-ad8a-4,&65(KzSQ(#,권중수,0108213580660,2001-08-21,F,061-037-5207,gangseoyun@example.net,985,0
112e9fbe-d7bf-4,ez7G0Kay)q,이상철,9212111735471,1992-12-11,M,044-895-7395,ggweon@example.com,815,0
31a3d592-6a69-4,e(u2RWwe(O,홍성수,9802091189276,1998-02-09,M,02-0339-2871,seonghyeon06@example.org,786,0
bc5ffad2-151b-4,B6+7fKSI_d,곽지은,9907141237582,1999-07-14,F,033-930-0141,ecoe@example.net,473,1
ab904ffb-5019-4,9)8G)4iAg8,김옥자,9711211173407,1997-11-21,F,063-241-9493,gyeongsui@example.com,7,0
ee627635-b814-4,_)P0NebKvZ,이영환,9604101148926,1996-04-10,F,052-348-6126,vi@example.org,94,0
31554ef8-0178-4,_7W2kgoy(2,김우진,9411161386401,1994-11-16,F,064-796-3736,siu85@example.net,904,0
f4a6e1ea-c96d-4,07XWIrSQ_u,최재현,0011023046896,2000-11-02,F,061-964-7905,gimseongmin@example.net,104,3
15204f5b-1757-4,3*5M3n9vfQ,강도현,9012091543910,1990-12-09,M,041-630-7428,lo@example.com,811,0
0c19bae4-ebe1-4,^5V2xdag^_,조성현,9205101851832,1992-05-10,M,011-296-4312,rgim@example.net,424,0
5cf8f255-f259-4,M&FuJ6$y#0,김은정,0205103829838,2002-05-10,M,018-982-7303,mi@example.org,420,0
bc1c2391-819c-4,_X287Yjzze,윤성훈,8711181644759,1987-11-18,M,02-4331-9238,seongmingim@example.org,160,0
1989c60d-a87c-4,S%6USq2*a7,이재호,8502231166972,1985-02-23,F,031-489-6799,yunyeongho@example.org,362,0
8dee6bd7-d470-4,&4HXGqp37e,오병철,8911161637785,1989-11-16,F,061-213-5772,ryudoyun@example.org,667,2
4ac02cc1-b6e1-4,l)ClrGNH)1,장성진,9501151427093,1995-01-15,M,041-015-5733,gimeungyeong@example.org,363,0
fa59ebf0-226c-4,(2OmSPA&S9,김상훈,0008133081160,2000-08-13,F,019-279-0860,jihyei@example.org,42,0
c47212e8-6b26-4,4ZPn4X!m$5,황병철,8902201044329,1989-02-20,F,044-750-5794,dgim@example.net,195,0
7dfdc1bd-228a-4,w2G#IMwm(T,노영순,9702141756256,1997-02-14,F,051-316-0875,li@example.net,151,2
d754bda2-5d7f-4,8#DZWZjj*x,김정숙,8808231285232,1988-08-23,F,061-699-4785,jeongsig80@example.com,357,0
22ca787e-8190-4,!cOo@D1rq6,김은지,9307141763373,1993-07-14,M,018-662-4674,gimjeongnam@example.net,927,0
d9aa31c5-5062-4,8lA1PCMx_n,이명자,9007021312502,1990-07-02,M,031-015-0440,migyeongyun@example.net,625,0
fb148fb3-6ca4-4,V7g)*eUc#*,김미숙,9305201184567,1993-05-20,M,054-682-1808,ggo@example.net,647,0
0b280856-ad63-4,8SK5drHj^8,장상철,9112171869774,1991-12-17,F,041-217-7244,siu85@example.net,220,0
95196b23-23e1-4,*k_65Gu5^i,이승민,9406091000250,1994-06-09,F,061-842-4041,ohayun@example.org,670,1
